Name,birthyear,gender,ambiguous_name,painter,sculptor,photographer,illustrator
Louise Abbéma,1858,f,False,True,True,False,False
Helen Allingham,1848,f,False,True,False,False,True
Laura Alma-Tadema,1852,f,False,True,False,False,False
Anna Ancher,1859,f,False,True,False,False,False
Sophie Anderson,1823,f,False,True,False,False,False
Marie-Elmina Anger,1844,f,False,True,False,False,False
Lucy Angeline Bacon,1857,f,False,True,False,False,False
Alice Pike Barney,1857,f,False,True,False,False,False
Jane E. Bartlett,1839,f,False,True,False,False,False
Cecilia Beaux,1855,f,False,True,False,False,False
Harriet Blackstone,1864,f,False,True,False,False,False
Alice Boughton,1866,f,False,False,False,True,False
Marie Bracquemond,1841,f,False,True,False,False,False
Elizabeth Eaton Burton,1869,f,False,True,False,False,False
Sally Bush,1860,f,False,False,False,True,False
Mary Cassatt,1844,f,False,True,False,False,False
Christabel Cockerell,1863,f,False,True,False,False,False
Kate Cory,1861,f,False,True,True,False,False
Alice Dannenberg,1861,f,False,True,False,False,False
Jenny Eakin Delony,1866,f,False,True,False,False,False
Florence Dreyfous,1868,f,False,True,False,False,False
Florence Esté,1860,f,False,True,False,False,False
Laura Ann Fry,1857,f,False,True,False,False,False
Ethel Gabain,1883,f,False,True,False,False,False
Anne Goldthwaite,1869,f,False,True,False,False,False
Laura Coombs Hills,1859,f,False,True,False,False,False
Anna Hope Hudson,1869,f,False,True,False,False,False
Frances Benjamin Johnston,1864,f,False,False,False,True,False
Gertrude Käsebier,1852,f,False,False,False,True,False
Lucy Kemp-Welch,1869,f,False,True,False,False,False
Kitty Lange Kielland,1843,f,False,True,False,False,False
Hilma af Klint,1862,f,False,True,False,False,False
Käthe Kollwitz,1867,f,False,True,True,False,False
Jessie Lipscomb,1861,f,False,False,True,False,False
Séraphine Louis,1864,f,False,True,False,False,False
Bessie MacNicol,1869,f,False,True,False,False,False
Blanche Hoschedé Monet,1865,f,False,True,False,False,False
Grandma Moses,1860,f,False,True,False,False,False
Clara Chipman Newton,1848,f,False,True,False,False,False
Lilla Cabot Perry,1848,f,False,True,False,False,False
Vinnie Ream,1847,f,False,False,True,False,False
Helene Schjerfbeck,1862,f,False,True,False,False,False
Janet Scudder,1869,f,False,False,True,False,False
Jessie Willcox Smith,1863,f,False,True,False,False,True
Gertrude Spencer-Stanhope,1857,f,False,True,True,False,False
Eloise Harriet Stannard,1829,f,False,True,False,False,False
Emily Coppin Stannard,1803,f,False,True,False,False,False
Annie Swynnerton,1844,f,False,True,False,False,False
Ellen Thesleff,1869,f,False,True,False,False,False
Juliet Thompson,1873,f,False,True,False,False,False
Suzanne Valadon,1865,f,False,True,False,False,False
Marianne von Werefkin,1860,f,False,True,False,False,False
Elenore Abbott,1875,f,False,True,False,False,False
Lizzy Ansingh,1875,f,False,True,False,False,False
Vanessa Bell,1879,f,False,True,False,False,False
Romaine Brooks,1874,f,False,True,False,False,False
Edith Woodman Burroughs,1871,f,False,False,True,False,False
Émilie Charmy,1878,f,False,True,False,False,False
Elinor Darwin,1871,f,False,True,False,False,False
Bessie Davidson,1879,f,False,True,False,False,False
Edith Dimock,1876,f,False,True,False,False,False
Katherine Sophie Dreier,1877,f,False,True,False,False,False
Dulah Marie Evans,1875,f,False,True,False,True,False
Christian Jane Fergusson,1876,f,False,True,False,False,False
Mary Foote,1872,f,False,True,False,False,False
Meta Vaux Warrick Fuller,1877,f,False,True,True,False,False
Margaret Gere,1878,f,False,True,False,False,False
Elizabeth Shippen Green,1871,f,False,True,False,False,True
Elena Guro,1877,f,False,True,False,False,False
Edith Haworth,1878,f,False,True,False,False,False
Gwen John,1876,f,False,True,False,False,False
Wilhelmina Weber Furlong,1878,f,False,True,False,False,False
Laura Knight,1877,f,False,True,False,False,False
Anna Coleman Ladd,1878,f,False,False,True,False,False
Sr. Maria Stanisia,1878,f,False,True,False,False,False
Edith Maryon,1872,f,False,False,True,False,False
Paula Modersohn-Becker,1876,f,False,True,False,False,False
Gabriele Münter,1877,f,False,True,False,False,False
Margaret Preston,1875,f,False,True,False,False,False
Ethel Sands,1873,f,False,True,False,False,False
Martha Stettler,1870,f,False,True,False,False,False
Anna Heyward Taylor,1879,f,False,True,False,False,False
Bessie Potter Vonnoh,1872,f,False,False,True,False,False
Nellie Walker,1874,f,False,False,True,False,False
Clara McDonald Williamson,1875,f,False,True,False,False,False
Enid Yandell,1870,f,False,False,True,False,False
Rowena Meeks Abdy,1887,f,False,True,False,False,False
Bessie Marsh Brewer,1884,f,False,False,True,False,False
"Nessa Cohen,",1885,f,False,False,True,False,False
Imogen Cunningham,1883,f,False,False,False,True,False
Sonia Delaunay,1885,f,False,True,False,False,False
Tarsila do Amaral,1886,f,False,True,False,False,False
Aleksandra Ekster,1882,f,False,True,False,False,False
Ester Ellqvist,1880,f,False,True,False,False,False
Laura Gardin Fraser,1889,f,False,False,True,False,False
Natalia Goncharova,1881,f,False,True,False,False,False
Norah Neilson Gray,1882,f,False,True,False,False,False
Madeline Emily Green,1884,f,False,True,False,False,False
Sigrid Hjertén,1885,f,False,True,False,False,False
Hannah Höch,1889,f,False,False,False,True,False
Malvina Hoffman,1887,f,False,False,True,False,False
Valentine Hugo,1887,f,False,False,False,False,True
Marie Laurencin,1883,f,False,True,False,False,False
Geneva Mercer,1889,f,False,False,True,False,False
Ethel Myers,1881,f,False,True,True,False,False
Hilda Rix Nicholas,1884,f,False,True,False,False,False
Georgia O'Keeffe,1887,f,False,True,False,False,False
Clara Elsene Peck,1883,f,False,True,False,False,True
Agnes Pelton,1881,f,False,True,False,False,False
Anne Ryan,1889,f,False,True,False,False,False
Zinaida Serebriakova,1884,f,False,True,False,False,False
Henrietta Shore,1880,f,False,True,False,False,False
Helen Margaret Spanton,1877,f,False,True,False,False,False
Sophie Taeuber-Arp,1889,f,False,True,False,False,False
Nadezhda Udaltsova,1886,f,False,True,False,False,False
Doris Ulmann,1882,f,False,False,False,True,False
Laura Wheeler Waring,1887,f,False,True,False,False,False
Mary Agnes Yerkes,1886,f,False,True,False,False,False
Marguerite Zorach,1887,f,False,True,False,False,False
Berenice Abbott,1898,f,False,False,False,True,False
